Credit_Score,Property_Price,Loan_Amount_Requested,Number_of_Defaults,Income,Property_Location,Applicant_Location,Loan_Sanction_Amount
591,4695637,2178555,0,442626,Rural,CityC,1575789
687,5239853,3973923,0,599552,Semi-Urban,CityD,2645814
493,4666081,3070615,1,815533,Urban,CityD,1981216
572,6034389,2863716,0,973795,Rural,CityB,2427334
648,4628304,2654697,0,831310,Urban,CityA,2074039
529,6625928,4304629,0,681055,Urban,CityD,2935931
653,4980357,1408272,1,124131,Semi-Urban,CityA,1501757
594,4107986,1203494,0,312197,Urban,CityC,1420171
629,3122914,1635335,0,474038,Urban,CityD,1286935
631,3845925,2199588,1,748442,Rural,CityB,1825034
663,4618534,473536,0,624365,Rural,CityB,1518685
610,6803089,4755296,0,701169,Rural,CityB,3163323
656,3092190,622886,0,471023,Urban,CityD,1052158
607,6560229,3008826,0,964079,Semi-Urban,CityC,2722433
688,4862354,2399699,1,288936,Urban,CityA,1693148
768,3752832,394174,0,556155,Semi-Urban,CityC,1161009
663,3021363,1209136,0,608898,Urban,CityA,1217974
661,5823493,2758122,0,585235,Urban,CityB,2440253
568,2140651,1249058,0,448529,Semi-Urban,CityC,995693
698,4307731,3154214,0,705953,Semi-Urban,CityB,2021089
596,4339457,642208,0,676651,Urban,CityD,1320309
593,4755312,1417887,0,640145,Urban,CityA,1607642
689,5871777,2757108,1,618631,Urban,CityC,2403409
662,4078039,1236317,0,617658,Urban,CityC,1464463
727,5180514,2041599,0,865256,Rural,CityA,1981424
751,3173231,2498720,0,675946,Urban,CityA,1891410
612,5086538,711369,0,1034427,Urban,CityC,1843646
658,5912533,4435814,0,535792,Semi-Urban,CityB,3021674
773,4472462,2538501,0,901384,Urban,CityC,2075648
717,5552999,2493332,0,651351,Rural,CityA,2251473
699,5156948,2193188,1,523739,Urban,CityD,1988506
741,4483566,2202570,0,807377,Rural,CityC,2028518
607,4908774,1492812,1,734347,Rural,CityC,1531941
694,4707469,1036869,0,702112,Urban,CityB,1636019
748,2038628,1088257,0,801226,Urban,CityD,1230147
763,2751256,2178813,0,156149,Rural,CityD,1528322
593,5649278,2606320,0,353203,Urban,CityD,2195054
632,1867479,1063914,0,965689,Urban,CityB,1265486
676,6737573,3124029,0,333115,Urban,CityC,2263837
629,2885043,692473,0,721516,Urban,CityD,1053934
622,5045788,2548562,1,536283,Urban,CityC,1856679
697,5708204,4398261,2,471357,Urban,CityD,2660027
625,4044897,2365039,0,948766,Urban,CityC,1936223
524,6743883,803438,1,500718,Semi-Urban,CityB,1782204
675,2943720,1042616,0,-43826,Urban,CityD,972400
620,6360150,3458139,0,589196,Urban,CityA,2699103
598,5222835,2595494,0,577782,Semi-Urban,CityC,2185551
540,4773221,882729,0,570210,Rural,CityA,1430093
720,6517544,4924208,0,434435,Semi-Urban,CityB,3256149
494,5808881,2182323,0,167371,Semi-Urban,CityB,1791055
531,3193284,1949448,0,714109,Urban,CityD,1529031
630,7117716,4626381,0,299892,Semi-Urban,CityB,2999624
736,6505995,1620610,0,593623,Semi-Urban,CityB,2095987
741,5155712,2906981,0,385044,Urban,CityC,2043300
569,5224531,2436496,0,647461,Urban,CityB,1815526
637,7004355,1574635,0,724109,Semi-Urban,CityC,2027958
544,7487258,4514132,1,810920,Urban,CityA,3142864
720,5918988,2831665,0,730240,Urban,CityB,2207978
546,3256068,813580,0,826128,Semi-Urban,CityA,1112936
639,5180375,2034039,0,564786,Urban,CityC,2083500
722,6230030,3591818,1,469614,Urban,CityD,2764822
634,3748252,2982233,0,395682,Rural,CityB,1796334
752,3191200,1544242,0,382018,Urban,CityC,1255163
589,5008668,3284404,0,790628,Urban,CityB,2449318
675,5168546,1712881,0,668917,Urban,CityB,1871872
709,5566745,2550085,0,393010,Urban,CityD,2141974
640,6845449,4685830,0,786494,Semi-Urban,CityB,3073526
747,1726362,1345389,0,890303,Urban,CityA,1281080
688,5149792,1158345,0,600697,Semi-Urban,CityD,1617298
535,4691483,3264875,1,279880,Rural,CityA,1916608
850,5023624,3978097,0,892244,Semi-Urban,CityC,2561830
695,5251150,2180926,0,479692,Rural,CityC,1871777
657,6538624,2063407,0,681338,Urban,CityC,2084852
552,5838399,4312952,0,470579,Rural,CityA,2533583
655,4931450,1252095,0,740196,Urban,CityA,1872179
617,5133676,4064766,0,395833,Urban,CityC,2196231
695,5158036,1965620,0,530163,Semi-Urban,CityA,1922651
676,4800551,789996,0,548329,Urban,CityA,1591706
779,6983021,1366873,0,586229,Semi-Urban,CityA,2354270
659,2131643,925028,1,472006,Urban,CityB,921726
685,2897756,413404,0,827985,Urban,CityB,1046465
676,7396455,2043787,0,859427,Urban,CityA,2325753
639,5860480,3847414,0,346637,Urban,CityC,2272248
637,5945963,3863285,0,599595,Semi-Urban,CityD,2721649
727,6737280,4497632,0,680006,Semi-Urban,CityC,3182345
704,1972467,261123,0,413974,Semi-Urban,CityD,687239
605,7158703,4556617,0,551637,Urban,CityD,3260517
572,3250304,2160778,1,465341,Rural,CityB,1417777
645,3525892,392202,0,390552,Rural,CityB,1005432
731,6554364,2450870,0,730767,Semi-Urban,CityB,2545123
648,3266426,2305783,0,726177,Semi-Urban,CityD,1885120
772,5796382,4468618,0,740268,Urban,CityC,2860784
595,7140994,5310860,0,820943,Urban,CityB,3572850
659,4025610,1943933,0,483761,Urban,CityB,1554190
473,4116380,1304666,0,577909,Rural,CityA,1226921
608,6008043,3079035,0,489861,Semi-Urban,CityB,2552135
628,6344482,3281324,1,808262,Urban,CityA,2747339
685,5512588,3115639,0,438057,Semi-Urban,CityD,2061346
769,2627948,1349637,0,589705,Semi-Urban,CityA,1336535
652,7415306,5247358,0,948208,Urban,CityB,3783943
751,5933742,2146736,0,742512,Urban,CityC,2188137
696,1464703,396659,0,677138,Rural,CityB,882067
719,3650319,417380,0,357067,Urban,CityA,1189500
617,3409949,896414,0,448299,Urban,CityB,1132273
746,3833454,816990,0,749583,Urban,CityA,1402180
574,5384079,1436000,0,1171547,Semi-Urban,CityA,2141107
684,3927152,2814489,0,534682,Urban,CityB,1877206
583,6837421,4185319,1,302231,Urban,CityB,2698776
613,6663107,1801520,0,446898,Semi-Urban,CityD,2198319
547,5111376,3348657,0,650039,Semi-Urban,CityA,2023430
613,3420160,1644702,0,327860,Semi-Urban,CityC,1406930
674,4999080,1922348,1,663267,Semi-Urban,CityC,1781536
645,5610140,1369220,0,650316,Semi-Urban,CityB,1694260
555,6743686,2141203,0,586545,Urban,CityC,2229943
752,4303559,669085,0,491831,Urban,CityB,1338163
673,5119583,1349197,0,691138,Semi-Urban,CityA,1957906
720,3504890,1983859,1,600170,Urban,CityD,1676704
704,4308526,1489518,0,757497,Urban,CityB,1807640
603,6752507,4549867,0,505636,Urban,CityD,2798248
513,7394305,4161577,0,535572,Semi-Urban,CityD,2794567
585,4482539,2407329,1,814086,Rural,CityB,2000471
735,4603792,1814789,0,361200,Urban,CityD,1890348
576,3859007,2128249,0,962072,Semi-Urban,CityC,1795344
707,2705603,1927421,0,848931,Urban,CityD,1462030
607,5559141,1767200,0,660768,Rural,CityA,1885812
677,5709035,1940652,0,655699,Urban,CityA,1871651
522,5906671,4099675,0,1077383,Urban,CityC,3045134
731,5039198,2373089,0,393472,Urban,CityD,2199535
647,5793817,4325558,0,847735,Rural,CityD,2745170
712,5248073,1213811,0,466372,Urban,CityC,1676425
663,6866689,1719496,0,698377,Urban,CityA,2090724
705,5561864,3914001,0,452336,Rural,CityD,2436937
642,7177003,1217530,0,705057,Urban,CityD,1903602
702,6608543,2842755,0,824576,Rural,CityA,2577114
544,5538525,3808193,0,296970,Semi-Urban,CityD,2064972
574,3136549,1836812,0,667307,Rural,CityC,1552853
700,5775908,2446496,0,812868,Semi-Urban,CityD,2334628
647,5481143,1181948,0,371794,Rural,CityA,1628597
633,7877929,3825295,1,702312,Urban,CityB,3286756
637,6113512,4839365,0,639374,Urban,CityC,3217328
685,3303093,2191966,1,707645,Urban,CityD,1562255
608,3810704,527593,0,636862,Urban,CityA,1121353
685,6445905,3852394,0,421735,Urban,CityB,2699006
585,4710332,3691164,1,685330,Urban,CityD,2341807
621,3195665,752137,0,416564,Urban,CityC,1137335
718,5736142,4413877,0,815195,Semi-Urban,CityC,2756129
724,5740474,1511707,0,930982,Rural,CityC,1905333
573,4822187,3248121,1,741294,Urban,CityB,1969679
708,6292394,1287380,0,654639,Semi-Urban,CityA,2004029
577,4843649,2227465,3,665147,Urban,CityD,1591242
701,7797223,2766535,0,561826,Semi-Urban,CityD,2512913
517,3353735,1909889,0,638197,Semi-Urban,CityC,1295886
571,6361883,1433854,0,258177,Semi-Urban,CityD,1686202
614,6486479,3281016,0,987121,Semi-Urban,CityB,2858340
638,6900300,701737,0,728497,Semi-Urban,CityB,2044754
749,4812119,1915021,0,733413,Semi-Urban,CityD,1999576
713,4380508,2019656,0,405223,Semi-Urban,CityB,1802304
760,7611013,5224638,0,665240,Semi-Urban,CityA,3520009
734,5819854,3668524,0,737595,Urban,CityD,2760081
630,4122297,677393,0,752572,Semi-Urban,CityC,1434660
631,6248528,3358731,0,964942,Semi-Urban,CityB,2548994
724,7380624,4147926,0,641116,Urban,CityA,3363946
652,5999572,3682658,0,761167,Rural,CityC,2610016
639,3911030,1910155,0,170799,Urban,CityA,1517305
556,6469137,1133062,0,371921,Urban,CityA,1550342
642,2693698,1476802,0,657597,Urban,CityA,1442270
454,6165229,3510306,0,476863,Rural,CityD,2570916
618,6467491,1779044,0,363222,Urban,CityD,2086448
581,4667047,3564656,0,430452,Urban,CityB,2062071
698,5415690,2257554,0,500399,Semi-Urban,CityD,1832938
616,5225420,3692809,0,785019,Rural,CityA,2639171
626,4196307,2338001,0,860560,Urban,CityA,1850299
744,3713600,1974055,0,690757,Urban,CityC,1588903
576,4581978,2220338,0,552497,Urban,CityA,1892429
672,4066982,2250250,0,684915,Rural,CityD,1857520
517,7270761,5024348,0,763126,Urban,CityC,3480839
656,2967093,1910260,1,759775,Rural,CityD,1441110
678,7698818,4394787,0,365429,Semi-Urban,CityA,2844297
710,4646884,568276,0,600788,Semi-Urban,CityB,1375173
587,3843442,407737,0,395817,Semi-Urban,CityB,930730
672,4183631,1468356,0,541083,Urban,CityB,1550519
672,3438556,417591,0,319670,Urban,CityA,942802
648,1951749,902671,1,688052,Semi-Urban,CityC,959937
660,6223984,637882,0,536956,Urban,CityD,1562977
682,4769529,2081953,0,997815,Urban,CityA,1951727
677,3742325,1363426,0,824157,Urban,CityB,1507167
580,3041251,2342447,0,621278,Urban,CityD,1404307
566,4155756,578055,0,442739,Semi-Urban,CityA,1033664
825,3122751,454778,1,346561,Urban,CityA,1171985
784,6947857,4825193,1,973128,Urban,CityD,3034789
552,2155583,1415529,0,359989,Semi-Urban,CityB,1017896
681,3562681,2690153,0,305799,Urban,CityA,1794353
693,3675467,568836,0,565611,Urban,CityA,1204148
702,5712766,3051016,0,462394,Rural,CityA,2173894
659,5380662,2475553,0,667776,Urban,CityB,2083452
585,4782810,1554900,0,521224,Rural,CityC,1504081
637,4741663,2501550,2,467675,Urban,CityC,1866176
615,5597108,4156717,0,550489,Urban,CityA,2358123
659,3806842,547408,1,268044,Urban,CityC,1014510
631,5725497,3216632,0,953976,Semi-Urban,CityD,2673279
640,3015856,903611,0,269434,Urban,CityC,961260
721,5810458,2230132,1,377114,Urban,CityD,1886198
736,4239114,2945278,0,713605,Rural,CityD,2057696
567,6692568,1239535,0,1160910,Rural,CityA,2298295
617,3164974,2184084,1,686399,Urban,CityD,1423969
594,4319745,1654332,0,813481,Urban,CityC,1717851
735,3768642,2972408,0,532630,Urban,CityA,1843592
645,6410328,4760380,0,692407,Urban,CityD,3088464
751,2883060,1111051,0,1085116,Urban,CityD,1653472
616,6326222,1951919,0,510462,Urban,CityC,2230317
651,5694826,1450258,1,925610,Semi-Urban,CityA,1973127
555,5848960,1476366,0,296639,Rural,CityC,1593730
741,3967761,2531894,0,854000,Urban,CityD,2126719
624,5713011,3592397,0,669819,Semi-Urban,CityC,2724835
546,7626083,5984777,0,384191,Urban,CityD,3322359
608,3963037,627415,0,437089,Rural,CityD,1175562
488,5379784,1367156,0,621378,Semi-Urban,CityC,1457571
647,4605378,3631790,2,600355,Rural,CityA,2350845
657,3349480,1615997,0,717637,Urban,CityC,1529359
670,3762759,1834606,0,1222378,Rural,CityD,1932380
754,5787276,1991631,0,598479,Urban,CityD,2061705
628,4931926,2922908,0,823034,Urban,CityD,2370007
706,1320620,594061,0,836593,Rural,CityB,1022563
671,5798432,2485471,1,367233,Rural,CityC,2142930
636,4523616,2193234,1,477244,Semi-Urban,CityD,1848132
504,6376621,750057,0,870862,Rural,CityB,1618400
716,4034549,1903833,0,706407,Urban,CityA,1915864
614,8460391,1633492,1,469967,Urban,CityC,2057609
651,3576876,1506760,0,1056962,Semi-Urban,CityD,1616363
561,6149339,969073,0,491816,Semi-Urban,CityC,1754840
669,3386810,2446202,0,538333,Semi-Urban,CityA,1668411
657,5292433,1931198,0,913975,Rural,CityC,2150370
652,3278735,1315587,0,421348,Semi-Urban,CityB,1402518
640,6882273,4263175,0,617249,Rural,CityB,2632624
723,4968344,1038593,0,480292,Urban,CityD,1612794
717,7242154,3639302,0,729606,Rural,CityD,3180824
700,4854071,2221871,1,601644,Urban,CityA,1853542
850,2563462,917239,0,889398,Urban,CityB,1470000
607,3735324,2160268,0,438861,Urban,CityA,1604502
623,4411747,2894725,0,124655,Semi-Urban,CityC,1883947
578,7072249,3022532,0,878071,Rural,CityA,2887161
680,9094193,4903096,1,698019,Urban,CityD,3866327
601,4828764,3567382,0,472255,Semi-Urban,CityB,2429262
461,5477025,2299695,1,467925,Urban,CityC,1896385
565,6875168,1337316,0,1028944,Urban,CityA,2182317
655,3288038,1579124,1,575514,Semi-Urban,CityA,1392768
720,4526595,1815253,0,543016,Urban,CityC,1740041
541,6004389,3829714,1,142039,Semi-Urban,CityD,2144297
607,5529700,3640601,0,1028496,Urban,CityB,2751991
640,4873516,1073597,0,306178,Urban,CityB,1395764
599,3533899,1436732,0,795604,Urban,CityD,1502952
687,5156285,1478692,1,936203,Urban,CityD,1951036
650,6069316,4662949,1,470632,Urban,CityC,2755531
672,3922369,2964568,0,952827,Rural,CityC,2178273
599,5111716,2065359,0,958800,Urban,CityC,2002597
757,8134611,3267734,0,766126,Semi-Urban,CityC,3278661
649,5716005,3558407,0,401172,Urban,CityD,2605087
740,5889685,3046046,0,730846,Rural,CityB,2554129
619,3445717,969451,0,542663,Rural,CityD,1330214
691,4173687,1828989,0,298811,Urban,CityD,1432340
602,4523801,3271051,1,726325,Semi-Urban,CityC,1969885
583,3741984,2159454,0,198158,Urban,CityD,1461303
600,3186349,1574657,0,507808,Urban,CityC,1460783
646,2651338,1892333,0,564687,Rural,CityC,1501866
634,4688180,1375481,0,647705,Urban,CityA,1690137
757,6249228,4985592,0,282330,Rural,CityC,2945882
569,5925171,1421377,0,610756,Urban,CityB,1815545
573,6014422,4137053,0,428668,Urban,CityD,2525835
769,6368130,3945944,1,233936,Rural,CityC,2842415
692,3711765,2616192,0,642307,Urban,CityB,1982990
518,3975094,2025081,0,586817,Rural,CityB,1418931
684,4646622,1220514,0,383894,Urban,CityD,1648764
666,3663114,1606143,0,494597,Urban,CityC,1392413
499,5374507,3781840,0,451815,Rural,CityA,2157020
624,4005266,2637320,0,335736,Semi-Urban,CityC,1830290
648,6670929,1477326,0,687700,Urban,CityA,2234771
701,3683223,2926494,0,462032,Urban,CityB,1791616
716,5843813,708788,0,287799,Rural,CityC,1694571
656,7518141,2818205,0,339694,Rural,CityB,2273815
722,3177162,1995515,0,453288,Semi-Urban,CityA,1531387
639,4173015,3261703,0,431221,Urban,CityA,1975503
589,3847762,767585,0,179218,Semi-Urban,CityA,1018588
584,3409589,2546378,0,739502,Semi-Urban,CityB,1814455
687,5391033,1365639,0,772543,Urban,CityB,2067639
512,5750479,2799603,0,837927,Urban,CityA,2296925
697,3900789,1571882,0,374191,Semi-Urban,CityA,1407592
572,4231276,2816501,0,680073,Urban,CityC,1966663
624,5363616,1056625,0,475032,Urban,CityA,1626294
685,5470943,1278061,0,666100,Urban,CityA,1771568
735,3332941,1657334,0,661926,Urban,CityD,1526839
514,8452452,2087470,0,674582,Rural,CityA,2735721
593,4649838,3329260,0,421376,Semi-Urban,CityC,2012710
653,5132180,2590966,0,170226,Rural,CityD,1985115
608,4057896,2995655,0,582307,Urban,CityB,2141955
710,4611957,2928773,0,782047,Urban,CityC,2268631
503,3643567,1575698,0,897461,Urban,CityB,1556523
675,7442358,4351441,0,482038,Urban,CityA,3333297
679,2229219,316240,0,688640,Rural,CityB,834655
653,4722576,2559074,0,769483,Urban,CityC,2277938
727,5991672,4726429,1,686195,Semi-Urban,CityB,3143381
563,2604179,478047,0,498824,Semi-Urban,CityA,873920
727,5691524,2368224,2,681060,Urban,CityC,1932285
600,6974760,787965,0,467999,Urban,CityB,1721243
700,5444555,3167040,0,672837,Urban,CityB,2458561
627,5000011,567980,0,210704,Rural,CityB,1275357
707,4948684,2071967,0,670712,Semi-Urban,CityB,2066653
704,4577751,1160026,0,577120,Urban,CityD,1734471
547,5870266,3904025,0,168748,Urban,CityB,2174097
639,3704710,2044801,0,804364,Semi-Urban,CityA,1609684
643,5490220,3109596,0,436802,Urban,CityA,2311903
633,4492211,2178380,0,873939,Rural,CityB,2017359
597,4127566,1136370,0,768777,Urban,CityA,1383480
779,3265437,2191055,0,511366,Urban,CityC,1713714
664,6011792,4304948,0,673206,Urban,CityD,2838960
758,4114032,1673679,1,560922,Rural,CityA,1756913
610,6616280,3377154,0,355072,Rural,CityB,2468276
575,4957932,2662461,1,439194,Semi-Urban,CityC,1961253
659,4995362,3043793,0,752798,Rural,CityC,2471097
610,3353191,1722308,0,678515,Rural,CityC,1517717
817,3499826,2326048,0,576496,Semi-Urban,CityD,1856218
667,5820497,3939671,0,607848,Urban,CityA,2562990
730,4855718,2377288,0,464746,Semi-Urban,CityB,2061741
634,5088114,3653610,0,415323,Semi-Urban,CityD,2179536
627,5976522,1446659,0,673143,Semi-Urban,CityB,1855378
647,5782767,2252566,1,560877,Urban,CityC,1975597
674,4466252,2416586,0,700919,Urban,CityB,2174157
709,9341579,1604892,0,776733,Urban,CityC,2880947
641,9702571,5851141,0,474796,Semi-Urban,CityD,3768881
602,5660470,2466710,0,561587,Semi-Urban,CityD,2199295
575,2841208,1037881,0,676795,Rural,CityC,1184631
644,3659585,1523459,0,475712,Rural,CityB,1317855
690,5872609,2098344,1,497689,Urban,CityD,2077921
682,4135090,1106867,0,670373,Semi-Urban,CityD,1611098
648,4877447,3614728,0,514202,Urban,CityB,2526748
607,2004882,1322327,0,477583,Urban,CityA,917630
660,5654272,1887159,0,477054,Urban,CityA,2039867
690,6812664,1487451,0,728763,Semi-Urban,CityD,2035744
647,3178440,577327,0,595893,Semi-Urban,CityC,1125581
657,4484750,2945283,1,656299,Rural,CityA,2110114
639,4461469,2638601,0,348554,Urban,CityA,1687288
714,1272657,194287,0,786546,Urban,CityC,823744
619,4286525,778501,0,223497,Urban,CityB,1166090
662,4146253,3066829,1,125133,Rural,CityA,1969931
677,2909665,2062487,0,802474,Urban,CityD,1734484
700,3688189,1122562,0,485749,Rural,CityA,1256913
754,5370280,920466,0,602946,Rural,CityA,1628861
697,5512084,3672282,0,746221,Semi-Urban,CityD,2420735
691,5487303,649266,0,922607,Rural,CityB,1759299
547,4136072,2255993,0,22661,Semi-Urban,CityC,1530605
692,3762643,797909,0,650416,Semi-Urban,CityD,1370889
810,5218082,3048075,0,918873,Semi-Urban,CityC,2531136
591,4410287,959739,0,352923,Urban,CityC,1225316
578,6554626,2256981,0,577876,Semi-Urban,CityA,1999448
634,6746463,1251205,0,738233,Rural,CityA,1886279
721,4291080,1291447,0,521345,Semi-Urban,CityB,1516197
686,2549770,485395,0,598502,Urban,CityD,944377
616,5275040,2238570,0,523434,Urban,CityD,1928524
647,3996657,2216488,0,496303,Rural,CityD,1748423
722,6233446,2344757,0,606863,Semi-Urban,CityA,2326451
697,6050149,4640894,0,789821,Urban,CityD,2736489
820,3424086,2151715,0,817275,Semi-Urban,CityD,1793188
720,6572346,3161711,0,753404,Urban,CityC,2486183
674,7088416,3504981,0,657562,Urban,CityC,3019221
693,5579336,1810064,1,811679,Urban,CityA,2077586
625,5915219,2713689,0,636810,Urban,CityC,2389703
581,4218608,2659698,0,700549,Urban,CityD,2028789
662,3711259,375827,0,523624,Urban,CityD,1105924
684,6882330,3003547,0,868038,Urban,CityD,2529993
552,5361664,3929615,0,450547,Rural,CityC,2317576
613,4862487,3377727,0,741122,Semi-Urban,CityC,2207839
624,4896612,1247151,0,589929,Urban,CityA,1453017
668,6129142,3771663,0,831586,Semi-Urban,CityA,2526840
631,4676523,2382275,0,583351,Semi-Urban,CityC,1760626
681,4252358,1989573,1,777613,Semi-Urban,CityC,1652891
656,4542885,2557695,0,376310,Semi-Urban,CityB,1823745
724,4756254,2580017,2,632747,Semi-Urban,CityD,2215179
530,4270293,640511,2,630659,Urban,CityC,1214454
765,5132423,2010830,0,467904,Urban,CityB,1768315
749,4262602,1020928,0,231406,Urban,CityC,1450117
653,4317608,2549152,1,1084766,Urban,CityB,2236344
695,7979809,2324656,0,638686,Semi-Urban,CityD,2582881
692,5010891,2031884,0,405869,Rural,CityB,1742889
598,7561979,5105379,0,386639,Urban,CityD,3173729
661,3492853,2263872,0,201866,Urban,CityB,1442902
704,6132225,4279754,0,650216,Semi-Urban,CityD,2882447
671,5016977,2184079,0,338325,Urban,CityC,1781054
723,7536515,5641431,0,634733,Semi-Urban,CityC,3264912
656,4302220,525251,0,592514,Semi-Urban,CityD,1362278
655,7688484,5818631,0,522391,Semi-Urban,CityB,3542249
596,4117031,1416424,2,580967,Semi-Urban,CityA,1254101
624,5011441,3352535,0,469958,Rural,CityB,2038656
617,3265871,2494553,0,420200,Semi-Urban,CityB,1462996
769,4948173,3583813,0,473618,Urban,CityC,2410198
666,4689765,2760458,0,327329,Urban,CityD,1987209
580,3335921,1898567,0,525803,Rural,CityC,1473328
677,2231005,1743541,0,381859,Semi-Urban,CityB,1227625
636,6344610,2700114,0,644195,Semi-Urban,CityB,2286571
436,5742706,992408,1,313537,Rural,CityA,1203078
683,3955492,462410,0,478481,Urban,CityD,1090892
541,4839810,3469709,0,722359,Rural,CityD,2051052
690,3912194,462944,0,778690,Semi-Urban,CityD,1459098
582,4792888,3669337,0,295595,Urban,CityD,2231140
547,5375064,2681847,0,837389,Rural,CityB,2356583
684,5529673,3098262,0,643234,Semi-Urban,CityD,2452401
545,4248535,3128703,1,1032528,Urban,CityC,2201282
618,4685293,3426667,0,529394,Urban,CityD,1993444
664,5774175,2157223,0,777949,Urban,CityC,2340861
692,4011010,2120932,0,683463,Rural,CityB,1924977
702,4166664,1938685,0,342965,Semi-Urban,CityD,1749738
647,5122775,3442140,0,646409,Semi-Urban,CityC,2268980
591,5742143,800041,0,753397,Rural,CityC,1830514
784,4364075,2351725,1,705766,Semi-Urban,CityB,2122082
607,6194796,2482979,1,700120,Rural,CityB,2401006
776,4894904,3439412,0,505909,Semi-Urban,CityD,2504098
618,3990886,2320726,0,511194,Urban,CityD,1608814
731,5141623,1453625,0,596006,Urban,CityB,1672861
724,2814965,546011,0,854867,Rural,CityB,1251107
576,2246151,1075770,0,735644,Urban,CityC,974808
674,5508538,4337035,0,789758,Urban,CityB,2576307
702,2335515,805601,0,492586,Rural,CityC,1122325
699,3797079,3025468,0,734575,Rural,CityD,2140468
636,6498006,3006320,0,944100,Rural,CityC,2699658
671,5497541,1282225,0,950344,Urban,CityA,2062290
622,3725050,452336,0,762481,Urban,CityC,1295330
567,4977514,1553562,0,916638,Semi-Urban,CityB,1981956
718,2849156,354876,2,644493,Rural,CityB,1037620
610,3291215,1688511,0,576211,Semi-Urban,CityA,1539967
746,4748273,2806867,0,471561,Semi-Urban,CityA,1991587
692,5881174,3346338,0,318513,Rural,CityB,2129618
587,4949406,1729060,0,875579,Rural,CityA,1734816
638,4873559,868231,0,630588,Urban,CityC,1414689
629,4024484,2209136,0,872104,Semi-Urban,CityA,1914451
589,5111777,737313,0,689994,Urban,CityB,1379329
685,6194027,3413245,0,589885,Semi-Urban,CityD,2623558
616,6655622,4557119,1,562992,Urban,CityC,3097063
764,5514160,772045,0,259070,Rural,CityB,1469113
710,5182967,1809419,0,583829,Semi-Urban,CityD,1928232
588,5532759,2949534,0,122734,Urban,CityC,2051296
648,5788040,3166177,0,660430,Semi-Urban,CityB,2286230
634,4277335,1020389,0,609471,Semi-Urban,CityD,1579907
540,4446332,2384808,0,748079,Semi-Urban,CityC,1704155
715,4004833,1963483,0,1031530,Semi-Urban,CityB,1809204
716,4056801,2920907,0,342439,Urban,CityD,1760516
714,7824544,4600189,0,844812,Rural,CityC,3127238
618,6177407,2192882,0,691284,Urban,CityB,2251560
724,3972890,1023986,0,1100031,Urban,CityA,1748306
635,5063475,2671674,0,880680,Rural,CityA,2374874
715,5461234,1523115,0,760383,Semi-Urban,CityD,1917106
776,4865062,744692,0,590295,Rural,CityC,1714443
659,3554368,2402367,0,773903,Semi-Urban,CityD,1843789
550,7169793,1861039,0,667210,Semi-Urban,CityB,2320811
627,3217363,1176548,0,486464,Urban,CityD,1209932
694,6302511,4364748,0,962077,Urban,CityD,2749739
735,5081055,874985,1,396022,Semi-Urban,CityC,1603836
570,3779792,2942843,0,680194,Rural,CityD,1949203
636,4757744,2216997,0,720941,Urban,CityB,2128029
666,2224251,1270794,0,403632,Urban,CityA,1123796
680,5412459,3312811,0,372220,Urban,CityD,2125987
713,6092697,4793034,0,788550,Semi-Urban,CityC,3292862
583,4204909,2047496,1,551952,Semi-Urban,CityB,1565824
620,5446787,3212553,0,534435,Semi-Urban,CityB,2322335
720,1251659,723309,0,783192,Urban,CityB,1010930
677,4202907,2274459,0,690490,Urban,CityA,2076504
681,2993898,1974600,0,832629,Urban,CityA,1724447
728,6387939,2184408,0,204728,Rural,CityA,1949263
657,5291470,2314088,1,365811,Rural,CityD,1947636
686,4929144,762468,0,706218,Urban,CityA,1627390
627,4716157,3476157,0,676075,Urban,CityD,2497222
555,4635667,2278236,0,910925,Rural,CityB,2066785
559,6177594,2887965,1,239624,Urban,CityD,1922036
655,3437371,986066,0,488159,Urban,CityB,1271970
636,6398380,4670786,0,151745,Urban,CityC,2519380
604,6049383,663856,1,684782,Semi-Urban,CityB,1616473
672,6546131,1099101,0,396811,Rural,CityA,1874320
587,4478095,636124,0,1044124,Urban,CityA,1381523
657,6622229,1779033,0,410686,Urban,CityC,2171872
648,6501179,2911192,0,768301,Semi-Urban,CityA,2315285
591,5674397,2408593,0,650991,Rural,CityC,2123735
489,6684305,1934320,0,760671,Rural,CityD,2016825
751,4338048,2119468,0,754390,Rural,CityD,2062201
672,4890278,1267240,0,615742,Urban,CityC,1732983
463,7021399,2499530,0,668675,Urban,CityB,2127933
620,8026086,1757506,0,710287,Urban,CityD,2453895
677,2530048,1429454,0,728517,Urban,CityA,1267714
634,6405565,1006744,0,303570,Urban,CityB,1575753
690,3112826,1059301,0,697572,Rural,CityD,1451505
581,5315437,2507386,0,599503,Urban,CityB,2125897
662,4118153,1995950,0,624871,Urban,CityD,1585861
646,5308534,1897047,1,555978,Rural,CityA,1972580
637,4552642,2506805,1,642288,Semi-Urban,CityD,1733724
634,5591110,1202724,0,718855,Rural,CityB,1766957
663,5974617,3626640,0,584317,Rural,CityB,2800709
715,4477766,3347913,1,751241,Rural,CityD,2153376
612,6002845,4759525,0,360303,Semi-Urban,CityC,2877457
621,4568637,3266291,0,568187,Urban,CityC,2120110
661,6027229,1703555,0,777773,Urban,CityA,2075192
641,6766182,857041,1,368338,Rural,CityA,1681151
